symbol,signal_date,score,setup_type,entry_price,rsi,adx,stop_loss,target,reasons,outcome,exit_price,exit_date,days_held,return_pct,pointer_uptrend_sma50,pointer_rsi_momentum,pointer_macd_crossover,pointer_volume_spike,pointer_breakout_proximity,pointer_adx_strong_trend,pointer_sma_cross,pointer_pullback_sma50
INFY.NS,2023-10-27,1,momentum,1272.05,38.2,21.969420448421396,1236.63,1342.9,RSI bounced off oversold,timeout,1323.888916015625,2023-11-20,15,4.08,False,True,False,False,False,False,False,False
RELIANCE.NS,2023-10-27,2,momentum,1119.4,36.6,37.26937427952311,1095.3,1167.6,RSI bounced off oversold; ADX greater than 25,target_hit,1167.6,2023-11-16,13,4.31,False,True,False,False,False,True,False,False
INFY.NS,2023-10-30,1,momentum,1269.01,37.4,22.561636687672245,1234.42,1338.19,RSI bounced off oversold,target_hit,1338.19,2023-11-16,12,5.45,False,True,False,False,False,False,False,False
RELIANCE.NS,2023-10-30,3,momentum,1142.47,47.0,35.69046960276326,1116.96,1193.5,RSI in healthy zone; Volume spike (>1.5x avg); ADX greater than 25,timeout,1175.2769775390625,2023-11-21,15,2.87,False,True,False,True,False,True,False,False
INFY.NS,2023-10-31,1,momentum,1261.04,35.5,23.06079795615027,1227.13,1328.86,RSI bounced off oversold,target_hit,1328.86,2023-11-16,11,5.38,False,True,False,False,False,False,False,False
RELIANCE.NS,2023-10-31,3,momentum,1130.32,43.0,34.11633320615381,1104.25,1182.46,RSI bounced off oversold; MACD bullish crossover; ADX greater than 25,target_hit,1182.46,2023-11-22,15,4.61,False,True,True,False,False,True,False,False
RELIANCE.NS,2023-11-01,2,momentum,1135.01,45.0,32.86706201015976,1108.56,1187.92,MACD bullish crossover; ADX greater than 25,timeout,1183.4781494140625,2023-11-23,15,4.27,False,False,True,False,False,True,False,False
RELIANCE.NS,2023-11-02,3,momentum,1146.28,49.5,31.44264137818838,1120.29,1198.25,RSI in healthy zone; MACD bullish crossover; ADX greater than 25,timeout,1182.6876220703125,2023-11-24,15,3.18,False,True,True,False,False,True,False,False
INFY.NS,2023-11-03,1,momentum,1280.07,45.3,24.365432216091794,1246.53,1347.15,RSI in healthy zone,target_hit,1347.15,2023-11-23,13,5.24,False,True,False,False,False,False,False,False
RELIANCE.NS,2023-11-03,2,momentum,1146.03,49.4,29.71670846203821,1120.88,1196.33,RSI in healthy zone; ADX greater than 25,timeout,1182.9346923828125,2023-11-28,15,3.22,False,True,False,False,False,True,False,False
