symbol,signal_date,score,setup_type,entry_price,rsi,adx,stop_loss,target,reasons,outcome,exit_price,exit_date,days_held,return_pct,pointer_uptrend_sma50,pointer_rsi_momentum,pointer_macd_crossover,pointer_volume_spike,pointer_breakout_proximity,pointer_adx_strong_trend,pointer_sma_cross,pointer_pullback_sma50,pointer_ols_breakout,pointer_strong_rsi,pointer_sma100_support
INFY.NS,2025-04-02,3,momentum,1473.7,33.1,47.25264133272316,1414.51,1592.09,RSI bounced off oversold; ADX greater than 25; Open-Low Same (conviction buy),stop_loss_hit,1414.51,2025-04-03,1,-4.02,False,True,False,False,False,True,False,False,True,False,False
RELIANCE.NS,2025-04-02,1,momentum,1240.44,50.0,23.973847548895623,1207.82,1305.67,RSI in healthy zone,stop_loss_hit,1207.82,2025-04-04,2,-2.63,False,True,False,False,False,False,False,False,False,False,False
TCS.NS,2025-04-02,1,momentum,3379.74,38.3,33.877570155757,3281.3,3576.62,ADX greater than 25,stop_loss_hit,3281.3,2025-04-03,1,-2.91,False,False,False,False,False,True,False,False,False,False,False
INFY.NS,2025-04-03,1,momentum,1422.7,28.1,48.04531461998422,1361.1,1545.9,ADX greater than 25,stop_loss_hit,1361.1,2025-04-07,2,-4.33,False,False,False,False,False,True,False,False,False,False,False
RELIANCE.NS,2025-04-03,1,momentum,1238.01,49.2,22.679794872432105,1205.73,1302.57,RSI in healthy zone,stop_loss_hit,1205.73,2025-04-04,1,-2.61,False,True,False,False,False,False,False,False,False,False,False
TCS.NS,2025-04-03,2,momentum,3245.46,28.4,34.845160356411476,3138.95,3458.49,Volume spike (>1.5x avg); ADX greater than 25,stop_loss_hit,3138.95,2025-04-07,2,-3.28,False,False,False,True,False,True,False,False,False,False,False
INFY.NS,2025-04-04,1,momentum,1380.06,24.7,49.14095435944507,1317.92,1504.34,ADX greater than 25,stop_loss_hit,1317.92,2025-04-07,1,-4.5,False,False,False,False,False,True,False,False,False,False,False
TCS.NS,2025-04-04,2,momentum,3146.52,23.6,36.38979406880863,3036.62,3366.32,Volume spike (>1.5x avg); ADX greater than 25,stop_loss_hit,3036.62,2025-04-07,1,-3.49,False,False,False,True,False,True,False,False,False,False,False
INFY.NS,2025-04-07,2,momentum,1327.87,21.3,50.96332496510911,1255.44,1472.72,Volume spike (>1.5x avg); ADX greater than 25,timeout,1432.5858154296875,2025-05-02,15,7.89,False,False,False,True,False,True,False,False,False,False,False
RELIANCE.NS,2025-04-07,1,momentum,1155.72,31.0,23.80948830908139,1112.86,1241.44,Volume spike (>1.5x avg),target_hit,1241.44,2025-04-17,6,7.42,False,False,False,True,False,False,False,False,False,False,False
TCS.NS,2025-04-07,2,momentum,3122.35,22.6,38.74658151689761,2995.43,3376.18,Volume spike (>1.5x avg); ADX greater than 25,timeout,3272.022705078125,2025-05-02,15,4.79,False,False,False,True,False,True,False,False,False,False,False
INFY.NS,2025-04-08,1,momentum,1358.34,27.5,51.30257124518803,1284.99,1505.03,ADX greater than 25,timeout,1434.2020263671875,2025-05-05,15,5.58,False,False,False,False,False,True,False,False,False,False,False
TCS.NS,2025-04-08,2,momentum,3140.37,25.2,40.05875704397907,3012.94,3395.23,Volume spike (>1.5x avg); ADX greater than 25,timeout,3294.2431640625,2025-05-05,15,4.9,False,False,False,True,False,True,False,False,False,False,False
INFY.NS,2025-04-09,1,momentum,1334.48,25.8,51.84140665561792,1261.59,1480.25,ADX greater than 25,timeout,1436.958984375,2025-05-06,15,7.68,False,False,False,False,False,True,False,False,False,False,False
RELIANCE.NS,2025-04-09,1,momentum,1175.2,37.3,24.52128958530622,1132.65,1260.3,Open-Low Same (conviction buy),target_hit,1260.3,2025-04-17,4,7.24,False,False,False,False,False,False,False,False,True,False,False
