symbol,signal_date,score,reasons,entry_price,rsi,stop_loss,target,outcome,exit_price,exit_date,days_held,return_pct,pointer_uptrend_sma50,pointer_rsi_momentum,pointer_macd_crossover,pointer_volume_spike,pointer_breakout_proximity,pointer_adx_strong_trend,pointer_sma_cross,pointer_pullback_sma50,pointer_ols_breakout,pointer_strong_rsi,pointer_sma100_support,pointer_volume_contraction,pointer_weekly_trend_up,pointer_outperforming_index
IRFC.NS,2026-04-22,4,RSI in healthy zone; Near 20-day high; Open-Low Same (conviction buy); Volume contracting (low selling pressure),105.82,61.7,99.08,115.93,timeout,101.4800033569336,2026-05-13,15,-4.1,False,True,False,False,True,False,False,False,True,False,False,True,False,False
JINDALSTEL.NS,2026-04-22,6,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,1278.6,64.9,1195.87,1402.69,timeout,1242.9000244140625,2026-05-13,15,-2.79,True,True,False,False,True,False,False,False,False,False,False,True,True,True
JIOFIN.NS,2026-04-22,3,RSI in healthy zone; Volume spike (>1.5x avg); Open-Low Same (conviction buy),238.51,48.6,223.67,260.77,timeout,231.4499969482422,2026-05-13,15,-2.96,False,True,False,True,False,False,False,False,True,False,False,False,False,False
JSWSTEEL.NS,2026-04-22,4,Uptrend (above rising SMA50); RSI in healthy zone; Weekly trend aligned (above Weekly EMA20); Outperforming index,1263.4,62.0,1195.05,1365.93,timeout,1274.9000244140625,2026-05-13,15,0.91,True,True,False,False,False,False,False,False,False,False,False,False,True,True
LODHA.NS,2026-04-22,4,RSI in healthy zone; Near 20-day high; ADX greater than 25; Volume contracting (low selling pressure),884.8,60.1,815.29,989.06,timeout,874.0,2026-05-13,15,-1.22,False,True,False,False,True,True,False,False,False,False,False,True,False,False
LT.NS,2026-04-22,6,Uptrend (above rising SMA50); RSI in healthy zone; Pullback to SMA100 support; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,3982.2,57.0,3745.28,4337.59,timeout,3877.923095703125,2026-05-13,15,-2.62,True,True,False,False,False,False,False,False,False,False,True,True,True,True
LTM.NS,2026-04-22,3,RSI in healthy zone; ADX greater than 25; Volume contracting (low selling pressure),4543.41,52.9,4230.61,5012.61,stop_loss_hit,4230.61,2026-04-24,2,-6.88,False,True,False,False,False,True,False,False,False,False,False,True,False,False
MAXHEALTH.NS,2026-04-22,3,RSI in healthy zone; ADX greater than 25; Volume contracting (low selling pressure),1005.35,55.6,953.01,1083.86,stop_loss_hit,953.01,2026-04-30,6,-5.21,False,True,False,False,False,True,False,False,False,False,False,True,False,False
MAZDOCK.NS,2026-04-22,6,Uptrend (above rising SMA50); Near 20-day high; Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,2703.9,69.5,2511.91,2991.88,stop_loss_hit,2511.91,2026-05-12,14,-7.1,True,False,False,False,True,False,False,False,False,True,False,True,True,True
MOTHERSON.NS,2026-04-22,9,Uptrend (above rising SMA50); Volume spike (>1.5x avg); Near 20-day high; Momentum Breakout (VCP + volume spike); Open-Low Same (conviction buy); Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,131.76,65.6,121.83,146.65,stop_loss_hit,121.83,2026-04-30,6,-7.54,True,False,False,True,True,False,False,False,True,True,False,False,True,True
MUTHOOTFIN.NS,2026-04-22,5,RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,3586.9,58.9,3348.23,3944.9,stop_loss_hit,3348.23,2026-05-12,14,-6.65,False,True,False,False,True,False,False,False,False,False,False,True,True,True
NESTLEIND.NS,2026-04-22,7,Uptrend (above rising SMA50); Volume spike (>1.5x avg); Near 20-day high; ADX greater than 25; Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,1395.8,77.1,1325.91,1500.64,timeout,1468.9000244140625,2026-05-13,15,5.24,True,False,False,True,True,True,False,False,False,True,False,False,True,True
NSEI,2026-04-22,3,RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure),24378.1,56.4,23572.41,25586.63,stop_loss_hit,23572.41,2026-05-12,13,-3.3,False,True,False,False,True,False,False,False,False,False,False,True,False,False
NTPC.NS,2026-04-22,6,Uptrend (above rising SMA50); Near 20-day high; Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,405.4,69.7,385.61,435.08,timeout,390.45001220703125,2026-05-13,15,-3.69,True,False,False,False,True,False,False,False,False,True,False,True,True,True
ONGC.NS,2026-04-22,6,Uptrend (above rising SMA50); RSI in healthy zone; ADX greater than 25; Open-Low Same (conviction buy); Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20),283.65,56.4,270.56,303.28,target_hit,303.28,2026-04-29,5,6.92,True,True,False,False,False,True,False,False,True,False,False,True,True,False
PFC.NS,2026-04-22,6,Uptrend (above rising SMA50); Near 20-day high; Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,470.3,71.8,440.49,515.01,stop_loss_hit,440.49,2026-05-12,14,-6.34,True,False,False,False,True,False,False,False,False,True,False,True,True,True
PIDILITIND.NS,2026-04-22,5,RSI in healthy zone; Near 20-day high; Open-Low Same (conviction buy); Volume contracting (low selling pressure); Outperforming index,1419.0,59.3,1338.14,1540.29,timeout,1445.5999755859375,2026-05-13,15,1.87,False,True,False,False,True,False,False,False,True,False,False,True,False,True
PNB.NS,2026-04-22,3,RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure),111.43,54.2,104.87,121.27,stop_loss_hit,104.87,2026-05-05,9,-5.89,False,True,False,False,True,False,False,False,False,False,False,True,False,False
POWERGRID.NS,2026-04-22,6,Uptrend (above rising SMA50); Near 20-day high; Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,319.75,71.6,304.39,342.79,stop_loss_hit,304.39,2026-05-13,15,-4.8,True,False,False,False,True,False,False,False,False,True,False,True,True,True
RECLTD.NS,2026-04-22,6,Uptrend (above rising SMA50); Near 20-day high; Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,383.35,70.7,359.13,419.68,stop_loss_hit,359.13,2026-04-29,5,-6.32,True,False,False,False,True,False,False,False,False,True,False,True,True,True
RELIANCE.NS,2026-04-22,3,RSI in healthy zone; Open-Low Same (conviction buy); Volume contracting (low selling pressure),1355.83,49.4,1295.16,1446.84,target_hit,1446.84,2026-05-04,8,6.71,False,True,False,False,False,False,False,False,True,False,False,True,False,False
SBIN.NS,2026-04-22,5,RSI in healthy zone; Near 20-day high; ADX greater than 25; Weekly trend aligned (above Weekly EMA20); Outperforming index,1083.77,56.9,1024.4,1172.81,stop_loss_hit,1024.4,2026-05-08,12,-5.48,False,True,False,False,True,True,False,False,False,False,False,False,True,True
SHREECEM.NS,2026-04-22,3,RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure),25735.0,62.3,24450.68,27661.48,stop_loss_hit,24450.68,2026-04-30,6,-4.99,False,True,False,False,True,False,False,False,False,False,False,True,False,False
SHRIRAMFIN.NS,2026-04-22,6,Uptrend (above rising SMA50); RSI in healthy zone; Near 20-day high; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,1044.55,58.0,967.82,1159.65,stop_loss_hit,967.82,2026-04-27,3,-7.35,True,True,False,False,True,False,False,False,False,False,False,True,True,True
SIEMENS.NS,2026-04-22,8,Uptrend (above rising SMA50); Volume spike (>1.5x avg); Near 20-day high; ADX greater than 25; Open-Low Same (conviction buy); Strong RSI momentum; Weekly trend aligned (above Weekly EMA20); Outperforming index,3844.3,75.7,3585.84,4231.99,stop_loss_hit,3585.84,2026-05-11,13,-6.72,True,False,False,True,True,True,False,False,True,True,False,False,True,True
SOLARINDS.NS,2026-04-22,7,Uptrend (above rising SMA50); Near 20-day high; Open-Low Same (conviction buy); Strong RSI momentum; Volume contracting (low selling pressure); Weekly trend aligned (above Weekly EMA20); Outperforming index,15272.0,68.6,14304.34,16723.49,timeout,15787.0,2026-05-13,15,3.37,True,False,False,False,True,False,False,False,True,True,False,True,True,True
