date,symbol,entry_price,target_1_5,sl_1_5,rsi,vol_ratio,status,next_open,next_open_return,exit_price_b,exit_return_b,outcome_b,created_at
2026-02-24,IOC.NS,177.95,180.62,175.28,65.3,1.38,CLOSED,178.75,+0.45%,180.62,+1.50%,WIN,2026-07-22T00:50:49.838927
2026-07-03,INDUSINDBK.NS,974.35,988.97,959.73,65.7,1.82,CLOSED,968.0,-0.65%,988.97,+1.50%,WIN,2026-07-22T00:50:49.870651
2026-07-06,INDUSINDBK.NS,1009.8,1024.95,994.65,71.8,2.26,CLOSED,1009.7,-0.01%,1024.95,+1.50%,WIN,2026-07-22T00:50:49.870701
2026-05-06,LTF.NS,297.24,301.7,292.78,65.3,1.73,CLOSED,298.72,+0.50%,301.7,+1.50%,WIN,2026-07-22T00:50:49.946689
2026-06-24,LTF.NS,296.55,301.0,292.1,62.0,1.24,CLOSED,299.25,+0.91%,301.0,+1.50%,WIN,2026-07-22T00:50:49.947926
2026-06-30,LTF.NS,310.75,315.41,306.09,69.9,1.85,CLOSED,312.7,+0.63%,315.41,+1.50%,WIN,2026-07-22T00:50:49.948090
2026-07-03,LTF.NS,327.0,331.9,322.09,76.8,1.39,CLOSED,330.0,+0.92%,331.9,+1.50%,WIN,2026-07-22T00:50:49.948210
2026-07-09,LTF.NS,321.1,325.92,316.28,62.7,1.4,CLOSED,323.0,+0.59%,325.92,+1.50%,WIN,2026-07-22T00:50:49.948364
2026-02-25,LAURUSLABS.NS,1075.28,1091.41,1059.15,63.9,1.5,CLOSED,1078.93,+0.34%,1091.41,+1.50%,WIN,2026-07-22T00:50:49.975613
2026-05-04,LAURUSLABS.NS,1165.24,1182.72,1147.76,65.3,2.95,CLOSED,1171.33,+0.52%,1162.94,-0.20%,LOSS,2026-07-22T00:50:49.976087
2026-06-19,LAURUSLABS.NS,1412.9,1434.09,1391.71,63.6,1.4,CLOSED,1415.0,+0.15%,1434.09,+1.50%,WIN,2026-07-22T00:50:49.976462
2026-07-01,LODHA.NS,992.3,1007.18,977.42,66.8,1.41,CLOSED,993.5,+0.12%,1007.18,+1.50%,WIN,2026-07-22T00:50:49.988802
2026-07-03,LODHA.NS,1057.0,1072.85,1041.14,74.9,3.56,CLOSED,1063.95,+0.66%,1072.85,+1.50%,WIN,2026-07-22T00:50:49.988889
2026-07-06,LODHA.NS,1095.9,1112.34,1079.46,78.4,2.48,CLOSED,1095.9,+0.00%,1102.55,+0.61%,WIN,2026-07-22T00:50:49.988937
2026-05-06,LUPIN.NS,2425.31,2461.69,2388.93,69.4,2.77,CLOSED,2437.23,+0.49%,2461.69,+1.50%,WIN,2026-07-22T00:50:49.993735
2026-06-29,LUPIN.NS,2391.96,2427.84,2356.08,67.9,2.8,CLOSED,2392.06,+0.00%,2401.59,+0.40%,WIN,2026-07-22T00:50:49.995054
2026-07-03,M&MFIN.NS,326.7,331.6,321.8,67.1,2.83,CLOSED,331.54,+1.48%,331.6,+1.50%,WIN,2026-07-22T00:50:50.007672
2026-02-09,MFSL.NS,1753.2,1779.5,1726.9,66.1,1.68,CLOSED,1759.5,+0.36%,1726.9,-1.50%,LOSS,2026-07-22T00:50:50.035465
2026-04-17,MOTILALOFS.NS,815.45,827.68,803.22,65.5,1.77,CLOSED,816.0,+0.07%,827.68,+1.50%,WIN,2026-07-22T00:50:50.054429
2026-05-04,MOTILALOFS.NS,836.6,849.15,824.05,65.4,2.15,CLOSED,836.6,+0.00%,843.7,+0.85%,WIN,2026-07-22T00:50:50.054560
2026-06-15,MOTILALOFS.NS,939.45,953.54,925.36,65.5,2.75,CLOSED,948.95,+1.01%,944.25,+0.51%,WIN,2026-07-22T00:50:50.054890
2026-05-11,MCX.NS,3187.9,3235.72,3140.08,77.1,2.4,CLOSED,3200.0,+0.38%,3235.72,+1.50%,WIN,2026-07-22T00:50:50.064129
2026-02-12,MUTHOOTFIN.NS,4032.8,4093.29,3972.31,60.1,1.47,CLOSED,3837.55,-4.84%,3837.55,-4.84%,LOSS,2026-07-22T00:50:50.067082
2026-04-23,NESTLEIND.NS,1403.75,1424.81,1382.7,78.4,1.39,CLOSED,1413.21,+0.67%,1414.5,+0.77%,WIN,2026-07-22T00:50:50.095198
2026-04-28,NESTLEIND.NS,1433.11,1454.61,1411.61,80.0,1.69,CLOSED,1438.09,+0.35%,1454.61,+1.50%,WIN,2026-07-22T00:50:50.095245
